,cell,F_lifetime_mean_avg,F_lifetime_max_avg,F_lifetime_99pct_avg
0,myo_cell_7,199.10009765625,3067.415283203125,1164.82699432373
1,pax_cell_5,211.4475555419922,3679.83056640625,874.7916935806272
2,pax_cell_2,337.1364440917969,5271.603515625,1741.0127465515131
3,myo_cell_6,146.04864501953125,1880.9993896484375,544.5203583755492
4,myo_cell_1,230.2908172607422,3290.01904296875,947.7401025466918
5,17_cell_3,245.7398681640625,3037.63623046875,915.4631092622006
6,08_cell_1,368.505126953125,6544.07373046875,2848.3580399034286
7,myo_cell_0,190.29420471191406,3355.656982421875,1007.170931095123
8,08_cell_3,433.8448791503906,12359.78515625,3174.5611876831044
9,17_cell_2,555.1362915039062,4670.67724609375,3126.0439662543404
10,11_cell_1,187.71310424804688,2837.2646484375,831.1713758560372
11,myo_cell_4,224.5622100830078,2913.22509765625,1104.701705566406
12,myo_cell_9,179.00015258789062,2904.863037109375,998.4763245468137
13,11_cell_0,194.5083770751953,3027.3037109375,1020.1235352180577
14,17_cell_0,244.95193481445312,3223.287109375,887.6600182255611
15,17_cell_1,251.99945068359375,3342.921630859375,1141.6187195442296
16,10_cell_2,258.2955322265625,5820.228515625,1362.9063917414344
17,myo_cell_5,166.51414489746094,2186.32080078125,649.3118186912536
18,08_cell_4,468.2870178222656,7191.01025390625,3300.2661837259925
19,10_cell_3,234.45103454589844,5119.1708984375,1767.5350231323237
20,pax_cell_4,218.3254852294922,10066.3271484375,1083.635478675842
21,myo_cell_8,161.61386108398438,3080.68408203125,637.6380286788939
22,11_cell_4,196.8505401611328,3628.973388671875,745.2584372527689
23,10_cell_4,234.07089233398438,5785.14794921875,1963.3705461527502
24,11_cell_2,265.4020690917969,4812.673828125,1405.0553187657608
25,myo_cell_2,179.9044189453125,2346.55029296875,754.1470226135253
26,10_cell_1,240.53614807128906,6236.66552734375,1948.3562916920976
27,pax_cell_1,330.8066101074219,5146.9619140625,1909.8569022369381
28,myo_cell_3,176.64910888671875,2833.6591796875,822.4248100814818
29,17_cell_4,252.41238403320312,4234.49462890625,1097.2284717028654
30,08_cell_2,303.24212646484375,6246.62548828125,2496.4025968356655
